,Unnamed: 0,target_num,prod_num,similarity
0,0,2913,2913,1.0000003576278689
1,1,2913,2907,0.9089102149009703
2,2,2913,2916,0.875122606754303
3,3,2913,2919,0.8146056532859802
4,4,2913,3101,0.7774723172187805
5,5,2913,2910,0.7123516798019409
6,6,2913,3240,0.7113845348358154
7,7,2913,3107,0.7073566913604736
8,8,2913,346,0.7055596113204956
9,9,2913,1003,0.7024103999137878
10,10,2913,2895,0.6990818977355957
11,11,2913,1221,0.6977484822273254
12,12,2913,1283,0.6973664164543152
13,13,2913,233,0.6967480182647705
14,14,2913,776,0.6928092241287231
15,15,2913,3566,0.6904036402702332
16,16,2913,1403,0.6891236305236816
17,17,2913,3734,0.6834374070167542
18,18,2913,3670,0.6797954440116882
19,19,2913,2602,0.6791783571243286
20,20,2913,3622,0.6754631400108337
21,21,2913,2759,0.6749150156974792
22,22,2913,3501,0.6683315634727478
23,23,2913,117,0.6661837697029114
24,24,2913,3204,0.6631509065628052
25,25,2913,1233,0.6600978374481201
26,26,2913,1356,0.6600643396377563
27,27,2913,1151,0.6566455960273743
28,28,2913,1153,0.6526985764503479
29,29,2913,3212,0.6507213711738586
30,30,2913,3815,0.6484372615814209
