,Unnamed: 0,target_num,prod_num,similarity
0,0,1187,1187,1.0000001192092896
1,1,1187,574,0.8581725955009459
2,2,1187,529,0.8241586089134216
3,3,1187,1039,0.8133463263511658
4,4,1187,495,0.8100974559783936
5,5,1187,475,0.8070734739303589
6,6,1187,483,0.7954300045967102
7,7,1187,452,0.7951881885528564
8,8,1187,476,0.7940020561218262
9,9,1187,1161,0.7897518873214722
10,10,1187,1136,0.7847481966018677
11,11,1187,1080,0.7816815376281738
12,12,1187,528,0.7803598642349243
13,13,1187,200,0.7802767753601074
14,14,1187,1180,0.7769818305969238
15,15,1187,549,0.7768367528915405
16,16,1187,567,0.7765839695930481
17,17,1187,497,0.7765431404113771
18,18,1187,527,0.7752168774604797
19,19,1187,1094,0.7729248404502869
20,20,1187,467,0.7701012492179871
21,21,1187,1131,0.7690917849540709
22,22,1187,128,0.7681244015693665
23,23,1187,96,0.7679160833358765
24,24,1187,606,0.7667869925498962
25,25,1187,502,0.7647880315780641
26,26,1187,587,0.7645199298858643
27,27,1187,1051,0.7640666961669922
28,28,1187,167,0.7635464072227478
29,29,1187,540,0.7630687952041626
30,30,1187,484,0.7628138661384583
