,Unnamed: 0,Unnamed: 0.1,target_num,prod_num,similarity
0,0,0,0,0,1.0
1,1,1,0,286,0.7904528975486755
2,2,2,0,1010,0.7780393958091736
3,3,3,0,247,0.7741213440895081
4,4,4,0,302,0.7477753162384033
5,5,5,0,230,0.747157096862793
6,6,6,0,295,0.7427311539649963
7,7,7,0,254,0.7394241690635681
8,8,8,0,300,0.7366331815719604
9,9,9,0,89,0.7330156564712524
10,10,10,0,953,0.7308167219161987
11,11,11,0,226,0.7307616472244263
12,12,12,0,98,0.7270209193229675
13,13,13,0,231,0.7248692512512207
14,14,14,0,989,0.7223812341690063
15,15,15,0,122,0.7193119525909424
16,16,16,0,1008,0.7187350988388062
17,17,17,0,997,0.7171114683151245
18,18,18,0,986,0.7166638374328613
19,19,19,0,287,0.7154029607772827
20,20,20,0,685,0.7152122259140015
21,21,21,0,942,0.7145452499389648
22,22,22,0,948,0.7139473557472229
23,23,23,0,968,0.7136743664741516
24,24,24,0,931,0.7136317491531372
25,25,25,0,225,0.7120954394340515
26,26,26,0,369,0.7112668752670288
27,27,27,0,969,0.7109889984130859
28,28,28,0,259,0.7101477384567261
29,29,29,0,307,0.7092930674552917
30,30,30,0,101,0.7087719440460205
