,Unnamed: 0,target_num,prod_num,similarity
0,0,1707,1707,0.999999701976776
1,1,1707,1708,0.8389810919761658
2,2,1707,1314,0.8358820080757141
3,3,1707,3198,0.8170652389526367
4,4,1707,1338,0.8154462575912476
5,5,1707,3265,0.8098554015159607
6,6,1707,3308,0.8033273816108704
7,7,1707,3202,0.8008797764778137
8,8,1707,3213,0.7991312146186829
9,9,1707,493,0.7924169898033142
10,10,1707,615,0.7910935282707214
11,11,1707,3378,0.7903158068656921
12,12,1707,3346,0.7902718782424927
13,13,1707,3257,0.7898117899894714
14,14,1707,3125,0.7895187735557556
15,15,1707,1341,0.7890594601631165
16,16,1707,3217,0.7877038717269897
17,17,1707,2532,0.7824907898902893
18,18,1707,1626,0.7794497013092041
19,19,1707,1359,0.7776646018028259
20,20,1707,3248,0.7765350341796875
21,21,1707,3328,0.7750683426856995
22,22,1707,2729,0.7744831442832947
23,23,1707,1328,0.772680401802063
24,24,1707,1574,0.7715952396392822
25,25,1707,3256,0.7679281234741211
26,26,1707,3254,0.7651126980781555
27,27,1707,3342,0.7619068622589111
28,28,1707,489,0.7613214254379272
29,29,1707,1380,0.7600712776184082
30,30,1707,3327,0.7588902115821838
