,Unnamed: 0,target_num,prod_num,similarity
0,0,3253,3253,1.0
1,1,3253,3251,0.7716395854949951
2,2,3253,609,0.7573271989822388
3,3,3253,2320,0.7310426831245422
4,4,3253,636,0.7142389416694641
5,5,3253,1266,0.7127754092216492
6,6,3253,1674,0.6977025866508484
7,7,3253,2852,0.6916353106498718
8,8,3253,289,0.6815353035926819
9,9,3253,637,0.679726779460907
10,10,3253,2703,0.6683301329612732
11,11,3253,1263,0.6678749322891235
12,12,3253,2021,0.6656830906867981
13,13,3253,3179,0.6637159585952759
14,14,3253,3320,0.6623077988624573
15,15,3253,3379,0.6596812009811401
16,16,3253,632,0.6543415188789368
17,17,3253,1673,0.6484111547470093
18,18,3253,3241,0.6438356637954712
19,19,3253,2121,0.6435422301292419
20,20,3253,706,0.642860472202301
21,21,3253,3235,0.6412745714187622
22,22,3253,1838,0.6397954225540161
23,23,3253,2817,0.6394546031951904
24,24,3253,3230,0.6384094953536987
25,25,3253,3408,0.637615442276001
26,26,3253,1620,0.6368382573127747
27,27,3253,1250,0.6352970004081726
28,28,3253,3243,0.6332426071166992
29,29,3253,607,0.6327952146530151
30,30,3253,1672,0.6319079399108887
