,Unnamed: 0,target_num,prod_num,similarity
0,0,2128,2128,1.000000238418579
1,1,2128,3381,0.6069236993789673
2,2,2128,981,0.5933222770690918
3,3,2128,631,0.5563070774078369
4,4,2128,925,0.555508017539978
5,5,2128,1840,0.5526303648948669
6,6,2128,2179,0.5392882227897644
7,7,2128,164,0.5360533595085144
8,8,2128,673,0.5357165932655334
9,9,2128,992,0.5303438901901245
10,10,2128,2098,0.5279499888420105
11,11,2128,3034,0.5276289582252502
12,12,2128,1793,0.5197105407714844
13,13,2128,1598,0.5149953961372375
14,14,2128,3473,0.5129429697990417
15,15,2128,2031,0.5115322470664978
16,16,2128,2908,0.5090899467468262
17,17,2128,1768,0.508745014667511
18,18,2128,2760,0.5059675574302673
19,19,2128,269,0.5013998150825499
20,20,2128,3242,0.5009642243385315
21,21,2128,690,0.4981580078601837
22,22,2128,2036,0.4972938299179077
23,23,2128,3419,0.4971700012683869
24,24,2128,390,0.4965597689151764
25,25,2128,3311,0.4935618042945862
26,26,2128,987,0.4903494715690613
27,27,2128,1178,0.4898317456245422
28,28,2128,928,0.4898152649402618
29,29,2128,1008,0.4892088174819946
30,30,2128,1020,0.4878851473331451
