,Unnamed: 0,target_num,prod_num,similarity
0,0,2600,2600,0.9999995231628418
1,1,2600,2500,0.8920746445655823
2,2,2600,3150,0.7533674240112305
3,3,2600,2473,0.7523601651191711
4,4,2600,2732,0.7510681748390198
5,5,2600,3153,0.7347233891487122
6,6,2600,3131,0.7155285477638245
7,7,2600,895,0.710338830947876
8,8,2600,911,0.7098260521888733
9,9,2600,1013,0.7091518044471741
10,10,2600,385,0.7043591737747192
11,11,2600,3449,0.7035467624664307
12,12,2600,1019,0.703402578830719
13,13,2600,3458,0.7020951509475708
14,14,2600,3130,0.7009376287460327
15,15,2600,908,0.6972795128822327
16,16,2600,2624,0.6905489563941956
17,17,2600,3167,0.6885809302330017
18,18,2600,2243,0.6882820129394531
19,19,2600,2247,0.686047375202179
20,20,2600,2244,0.6860016584396362
21,21,2600,2256,0.6777912974357605
22,22,2600,2512,0.6754192113876343
23,23,2600,986,0.6750110983848572
24,24,2600,3379,0.6746219992637634
25,25,2600,2231,0.6716717481613159
26,26,2600,2622,0.6698161363601685
27,27,2600,898,0.6677415370941162
28,28,2600,2236,0.6647658348083496
29,29,2600,3158,0.6647012233734131
30,30,2600,3145,0.6642851233482361
