,Unnamed: 0,target_num,prod_num,similarity
0,0,2935,2935,1.0000003576278689
1,1,2935,93,0.787925124168396
2,2,2935,1139,0.7833256721496582
3,3,2935,693,0.7437196969985962
4,4,2935,656,0.7437077164649963
5,5,2935,28,0.742562472820282
6,6,2935,696,0.7410017848014832
7,7,2935,1450,0.7406243085861206
8,8,2935,1948,0.7391535639762878
9,9,2935,1572,0.7349463701248169
10,10,2935,1156,0.7336240410804749
11,11,2935,1901,0.7336048483848572
12,12,2935,3124,0.7332543730735779
13,13,2935,2525,0.7318409085273743
14,14,2935,2304,0.7300422787666321
15,15,2935,1424,0.7278150320053101
16,16,2935,1166,0.7261835932731628
17,17,2935,677,0.7243520021438599
18,18,2935,2791,0.7213022708892822
19,19,2935,3295,0.7203481197357178
20,20,2935,3522,0.718959629535675
21,21,2935,1637,0.7183414101600647
22,22,2935,743,0.7182543277740479
23,23,2935,697,0.7169524431228638
24,24,2935,1629,0.7156582474708557
25,25,2935,737,0.7150071263313293
26,26,2935,3053,0.7143025994300842
27,27,2935,254,0.7133806943893433
28,28,2935,248,0.7125709056854248
29,29,2935,684,0.712528645992279
30,30,2935,1918,0.7119186520576477
