,Unnamed: 0,target_num,prod_num,similarity
0,0,3121,3121,1.0
1,1,3121,1200,0.8077097535133362
2,2,3121,3339,0.7962617874145508
3,3,3121,1384,0.7887635231018066
4,4,3121,1067,0.7815236449241638
5,5,3121,63,0.7712762355804443
6,6,3121,2227,0.7649666666984558
7,7,3121,426,0.7626113295555115
8,8,3121,64,0.7561176419258118
9,9,3121,1339,0.7509711980819702
10,10,3121,440,0.749272346496582
11,11,3121,466,0.7476370334625244
12,12,3121,13,0.7383548617362976
13,13,3121,3453,0.736942708492279
14,14,3121,481,0.7346168160438538
15,15,3121,1312,0.7338601350784302
16,16,3121,465,0.7333341240882874
17,17,3121,470,0.7311762571334839
18,18,3121,1134,0.7285439372062683
19,19,3121,1175,0.7257939577102661
20,20,3121,3398,0.7230854630470276
21,21,3121,3097,0.7196974754333496
22,22,3121,2574,0.7187861800193787
23,23,3121,95,0.7179079651832581
24,24,3121,3134,0.7148063182830809
25,25,3121,3285,0.7142230868339539
26,26,3121,1096,0.7134661078453064
27,27,3121,3114,0.7124485969543457
28,28,3121,3340,0.7121426463127136
29,29,3121,3152,0.7113037109375
30,30,3121,2530,0.7102044224739075
