,Unnamed: 0,target_num,prod_num,similarity
0,0,113,113,0.9999998807907104
1,1,113,2867,0.8682329058647156
2,2,113,1144,0.8655047416687012
3,3,113,1341,0.8466958999633789
4,4,113,3205,0.8412599563598633
5,5,113,3336,0.8397758603096008
6,6,113,123,0.838833212852478
7,7,113,3176,0.8336092829704285
8,8,113,3101,0.8315402269363403
9,9,113,2821,0.8274790048599243
10,10,113,1188,0.8273992538452148
11,11,113,3229,0.8268983364105225
12,12,113,3117,0.8262678980827332
13,13,113,3118,0.8240755200386047
14,14,113,89,0.8208274245262146
15,15,113,3285,0.8204478025436401
16,16,113,81,0.8179128766059875
17,17,113,85,0.8160986900329591
18,18,113,111,0.8144274353981018
19,19,113,2565,0.8140483498573303
20,20,113,1857,0.8128679394721985
21,21,113,2863,0.812280535697937
22,22,113,51,0.8116524219512941
23,23,113,620,0.8103543519973755
24,24,113,231,0.8100590705871582
25,25,113,3189,0.808406412601471
26,26,113,672,0.807219922542572
27,27,113,3115,0.8044925332069397
28,28,113,1167,0.8028458952903748
29,29,113,618,0.8022400736808777
30,30,113,1380,0.8013789653778076
