,Unnamed: 0,target_num,prod_num,similarity
0,0,4031,4031,1.0000004768371582
1,1,4031,5646,0.815498948097229
2,2,4031,6036,0.7974033355712891
3,3,4031,2916,0.7945062518119812
4,4,4031,5619,0.7812212705612183
5,5,4031,5912,0.7751281857490541
6,6,4031,6026,0.7714850902557373
7,7,4031,884,0.7649058103561401
8,8,4031,5990,0.7599120736122131
9,9,4031,4204,0.7547242045402527
10,10,4031,4987,0.7539745569229126
11,11,4031,5901,0.753474771976471
12,12,4031,5810,0.7526777386665344
13,13,4031,5030,0.7492023706436157
14,14,4031,272,0.7445200085639954
15,15,4031,4792,0.7412031888961792
16,16,4031,3466,0.7361163496971129
17,17,4031,5004,0.7347089648246765
18,18,4031,5863,0.7344968318939209
19,19,4031,5752,0.7336866855621338
20,20,4031,5781,0.7321602702140808
21,21,4031,894,0.7319006919860841
22,22,4031,6041,0.731241762638092
23,23,4031,5903,0.7281109690666199
24,24,4031,4049,0.7276216745376587
25,25,4031,4553,0.7244194746017456
26,26,4031,5874,0.7236393094062805
27,27,4031,5835,0.7188634872436523
28,28,4031,6049,0.7165043354034424
29,29,4031,5711,0.7159914970397949
30,30,4031,6032,0.7144716382026672
