,Unnamed: 0,target_num,prod_num,similarity
0,0,908,908,1.0000003576278689
1,1,908,2118,0.7114424109458923
2,2,908,2248,0.7017319798469543
3,3,908,4168,0.688576340675354
4,4,908,4148,0.6728380918502808
5,5,908,2087,0.6679831743240356
6,6,908,5582,0.6675264835357666
7,7,908,6058,0.6618248224258423
8,8,908,6327,0.6582348346710205
9,9,908,5756,0.6547983884811401
10,10,908,4163,0.6490691900253296
11,11,908,3988,0.6483056545257568
12,12,908,1994,0.6434974670410156
13,13,908,4149,0.6429910659790039
14,14,908,4151,0.6429829597473145
15,15,908,5492,0.6406980156898499
16,16,908,3489,0.6395779252052307
17,17,908,6065,0.6393482089042664
18,18,908,4067,0.6384588479995728
19,19,908,2027,0.6369252204895021
20,20,908,2865,0.6367926001548767
21,21,908,5094,0.6338786482810974
22,22,908,2926,0.6305170059204102
23,23,908,2953,0.630179762840271
24,24,908,6100,0.6294057369232178
25,25,908,1634,0.6286086440086365
26,26,908,4170,0.6284317970275879
27,27,908,2242,0.6283891797065735
28,28,908,5950,0.6271013617515564
29,29,908,2166,0.6262658834457397
30,30,908,2161,0.6217632889747621
