,Unnamed: 0,target_num,prod_num,similarity
0,0,4948,4948,0.9999991059303284
1,1,4948,5060,0.7988484501838684
2,2,4948,4958,0.7800648212432861
3,3,4948,4947,0.7628664970397949
4,4,4948,3426,0.7482762932777405
5,5,4948,4218,0.7471707463264465
6,6,4948,5844,0.7427505850791931
7,7,4948,3557,0.7361485958099365
8,8,4948,6021,0.7349583506584167
9,9,4948,4976,0.7276427745819092
10,10,4948,4944,0.7241511940956116
11,11,4948,3134,0.7222985625267029
12,12,4948,3739,0.7207594513893127
13,13,4948,4959,0.7190165519714355
14,14,4948,5701,0.7179436683654785
15,15,4948,2494,0.7110185623168945
16,16,4948,5754,0.7103254795074463
17,17,4948,3259,0.7101405262947083
18,18,4948,5566,0.7099146246910095
19,19,4948,5811,0.7093369364738464
20,20,4948,3368,0.7080703377723694
21,21,4948,4811,0.7072640061378479
22,22,4948,4956,0.7012873888015747
23,23,4948,5058,0.70091712474823
24,24,4948,5763,0.699907660484314
25,25,4948,3042,0.6911953091621399
26,26,4948,4957,0.691098690032959
27,27,4948,3670,0.6895121335983276
28,28,4948,3652,0.6870339512825012
29,29,4948,3058,0.6837967038154602
30,30,4948,5813,0.6834981441497803
