,Unnamed: 0,target_num,prod_num,similarity
0,0,5118,5118,0.9999998211860656
1,1,5118,5996,0.7728407382965088
2,2,5118,4162,0.7720518708229065
3,3,5118,4883,0.771285891532898
4,4,5118,4835,0.7608642578125
5,5,5118,4863,0.7567331194877625
6,6,5118,4165,0.7523939609527588
7,7,5118,1307,0.7516282200813293
8,8,5118,2148,0.7495359182357788
9,9,5118,3220,0.7444987297058105
10,10,5118,5730,0.7415462732315063
11,11,5118,2163,0.739183247089386
12,12,5118,5662,0.7388774752616882
13,13,5118,144,0.7388094067573547
14,14,5118,1639,0.7381096482276917
15,15,5118,1311,0.7365007400512695
16,16,5118,5240,0.734918475151062
17,17,5118,4088,0.7341374158859253
18,18,5118,1576,0.7324626445770264
19,19,5118,169,0.7297959923744202
20,20,5118,1348,0.7297796607017517
21,21,5118,5722,0.7295668721199036
22,22,5118,1994,0.7274092435836792
23,23,5118,5625,0.7245213985443115
24,24,5118,4269,0.7237735986709595
25,25,5118,2736,0.722106397151947
26,26,5118,4076,0.7219309210777283
27,27,5118,5875,0.7217980027198792
28,28,5118,2165,0.7192770838737488
29,29,5118,4167,0.7191239595413208
30,30,5118,5545,0.7189555764198303
